City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,olonkinbyen,70.9221,-8.7187,-0.06,98,100,6.3,SJ,1702336210
82,tazacorte,28.629,-17.9293,19.54,49,0,4.02,ES,1702336210
83,eastham,41.8301,-69.9739,6.99,66,75,3.58,US,1702336210
84,nadym,65.5333,72.5167,-27.9,88,100,5.09,RU,1702336211
85,chonchi,-42.6128,-73.8092,13.56,92,100,2.21,CL,1702336043
86,puerto ayora,-0.7393,-90.3518,25.04,79,63,3.56,EC,1702336211
87,hawaiian paradise park,19.5933,-154.9731,26.13,90,100,1.34,US,1702336211
88,tondano,1.3038,124.9112,22.05,84,56,1.17,ID,1702336212
89,paramonga,-10.6667,-77.8333,20.59,84,14,4.33,PE,1702336212
90,gadzhiyevo,69.2551,33.3362,-13.6,92,94,7.27,RU,1702336212
91,salinas,36.6777,-121.6555,18.6,60,0,6.17,US,1702336212
92,cabo san lucas,22.8909,-109.9124,27.56,62,0,2.06,MX,1702335945
93,socorro,31.6546,-106.3033,17.56,15,75,0.0,US,1702336213
94,saldanha,-33.0117,17.9442,17.56,90,63,8.9,ZA,1702336215
95,mossel bay,-34.1831,22.146,17.31,80,0,4.37,ZA,1702336215
96,east london,-33.0153,27.9116,19.36,85,55,1.39,ZA,1702336104
97,den chai,17.9837,100.0522,22.74,98,33,0.97,TH,1702336215
98,brisas de zicatela,15.8369,-97.0419,29.29,61,40,2.57,MX,1702336215
99,petawawa,45.9001,-77.3328,-4.23,67,75,4.63,CA,1702336216
100,tamandare,-8.7597,-35.1047,25.97,76,1,4.46,BR,1702336216
101,las tejerias,10.2524,-67.1847,25.01,87,82,1.89,VE,1702336216
102,margaret river,-33.95,115.0667,18.75,61,0,4.32,AU,1702336217
103,albany,42.6001,-73.9662,1.95,73,16,4.02,US,1702335953
104,bredasdorp,-34.5322,20.0403,17.29,85,52,5.76,ZA,1702336217
105,tarawa,1.419,172.984,28.64,72,93,1.97,KI,1702336217
106,hengchun,22.0042,120.7439,24.89,83,43,2.62,TW,1702336218
107,nova sintra,14.8667,-24.7167,23.11,68,24,7.18,CV,1702336218
108,pontes e lacerda,-15.2261,-59.3353,25.77,81,85,2.24,BR,1702336219
109,keflavik,64.0049,-22.5624,-0.76,74,20,3.09,IS,1702336219
110,west island,-12.1568,96.8225,25.99,73,40,3.09,CC,1702336220
111,st. john's,47.5649,-52.7093,12.04,95,100,2.68,CA,1702336024
112,eyl,7.9803,49.8164,24.78,72,81,7.52,SO,1702336220
113,tura,25.5198,90.2201,14.5,89,0,1.44,IN,1702336221
114,uacu cungo,-11.3634,15.1208,17.19,99,100,0.15,AO,1702335978
115,port alfred,-33.5906,26.891,17.88,96,4,2.5,ZA,1702336138
116,georgetown,5.4112,100.3354,26.08,94,20,0.0,MY,1702336115
117,egilsstadir,65.2653,-14.3948,-8.61,86,20,2.27,IS,1702336222
118,hermanus,-34.4187,19.2345,16.85,86,70,5.78,ZA,1702336222
119,helena,46.5927,-112.0361,1.66,84,100,3.6,US,1702335941
120,agat village,13.3886,144.6585,29.52,79,40,6.17,GU,1702336223
121,taroudant,30.4703,-8.877,18.55,38,56,2.43,MA,1702336223
122,klyuchi,52.2667,79.1667,-24.27,87,31,6.4,RU,1702336224
123,hamilton,39.1834,-84.5333,3.21,70,0,2.06,US,1702336089
124,punta arenas,-53.15,-70.9167,12.06,47,75,6.69,CL,1702336131
125,kolonia town,6.964,158.206,31.06,74,100,2.57,FM,1702336224
126,yellowknife,62.456,-114.3525,-29.77,100,20,2.02,CA,1702336090
127,remire-montjoly,4.9167,-52.2667,28.02,83,20,2.06,GF,1702336225
128,fort bragg,35.139,-79.006,6.57,74,0,0.0,US,1702336226
129,inhambane,-23.865,35.3833,25.63,95,100,4.1,MZ,1702336226
130,stanley,54.868,-1.6985,0.44,100,40,0.51,GB,1702336201
131,nabire,-3.3667,135.4833,26.58,87,99,1.13,ID,1702336083
132,haiku-pauwela,20.9219,-156.3051,30.01,55,20,7.72,US,1702336227
133,uturoa,-16.7333,-151.4333,26.96,76,83,9.08,PF,1702336227
134,badger,64.8,-147.5333,-6.07,82,100,4.63,US,1702336228
135,guli,28.8833,120.0333,7.85,82,100,2.14,CN,1702336228
136,conception bay south,47.4999,-52.9981,12.18,95,100,11.47,CA,1702336214
137,porto novo,6.4965,2.6036,26.87,80,58,2.57,BJ,1702336229
138,college,64.8569,-147.8028,-6.03,77,100,4.63,US,1702336229
139,la roda,39.2167,-2.15,12.17,55,100,3.54,ES,1702336230
140,udachny,66.4167,112.4,-24.85,97,100,3.83,RU,1702336230
141,little river,33.8732,-78.6142,8.34,79,0,1.54,US,1702336230
142,saint peter,13.25,-59.6167,25.31,81,30,7.9,BB,1702336231
143,nadi,-17.8,177.4167,29.0,51,40,5.66,FJ,1702336197
144,lebu,-37.6167,-73.65,14.73,76,100,2.72,CL,1702336231
145,rio preto da eva,-2.6994,-59.6997,23.92,98,100,0.86,BR,1702336231
146,port mathurin,-19.6833,63.4167,25.89,76,90,2.39,MU,1702336232
147,mount pearl,47.5166,-52.7813,12.19,95,75,11.32,CA,1702335957
148,alice springs,-23.7,133.8833,18.75,42,0,4.12,AU,1702336214
149,yuncheng,35.0231,110.9928,0.83,95,92,1.97,CN,1702336232
150,sipalay,9.75,122.5,24.9,88,5,1.88,PH,1702336232
151,prado,-17.3411,-39.2208,25.51,83,86,6.48,BR,1702336233
152,watertown,42.3709,-71.1828,6.01,74,0,5.66,US,1702336233
153,jaguarari,-10.2639,-40.1958,27.99,29,70,0.69,BR,1702336065
154,sao gabriel da cachoeira,-0.1303,-67.0892,25.34,91,34,0.4,BR,1702336233
155,ukata,10.8312,5.8249,21.19,21,0,4.96,NG,1702336234
156,tshabong,-26.05,22.45,22.01,21,0,4.19,BW,1702336234
157,thompson,55.7435,-97.8558,-12.91,85,100,6.17,CA,1702336234
158,cole harbour,44.6724,-63.4751,12.76,96,100,12.07,CA,1702336152
159,lompoc,34.6391,-120.4579,24.32,64,0,7.2,US,1702336235
160,vernon,50.2581,-119.2691,4.23,88,60,0.73,CA,1702336013
161,yelizovo,53.1873,158.3805,-8.92,72,40,2.0,RU,1702336022
162,jilib,0.4883,42.7854,24.09,95,100,1.86,SO,1702336114
163,tambacounda,13.7539,-13.7586,26.02,16,46,2.92,SN,1702336236
164,san patricio,28.017,-97.5169,19.05,44,100,4.43,US,1702336228
165,ancud,-41.8697,-73.8203,11.8,82,100,5.31,CL,1702336237
166,mitu,1.1983,-70.1733,23.98,96,96,0.43,CO,1702336237
167,newman,37.3138,-121.0208,16.8,45,96,0.89,US,1702336237
168,ust-nera,64.5667,143.2,-19.5,98,100,3.37,RU,1702336237
169,ta`u,-14.2336,-169.5144,26.39,89,91,8.21,AS,1702336238
170,taro,-8.3862,115.28,23.0,82,54,0.44,ID,1702336238
171,praia,14.9215,-23.5087,24.3,78,30,6.17,CV,1702336238
172,ubinskoye,55.3068,79.6802,-29.59,93,6,5.21,RU,1702336238
173,lhokseumawe,5.1801,97.1507,25.75,82,98,0.86,ID,1702336238
174,ciudad bolivar,8.1222,-63.5497,29.49,60,72,5.83,VE,1702336239
175,mahriz,31.5917,54.4318,8.51,32,79,0.71,IR,1702336239
176,palikir - national government center,6.9248,158.1611,30.47,74,100,2.57,FM,1702336239
177,maisi,43.0395,41.2621,9.72,63,100,1.3,GE,1702336239
178,tanabe,33.7333,135.3667,17.56,100,75,2.06,JP,1702336240
179,kittila,67.6647,24.8936,-12.92,92,100,1.54,FI,1702336240
180,afaahiti,-17.75,-149.2833,29.93,79,96,10.1,PF,1702336240
181,marawi city,8.0,124.2833,20.82,89,31,0.7,PH,1702336240
182,kourou,5.1552,-52.6478,28.03,88,93,2.84,GF,1702336065
183,tual,-5.6667,132.75,28.84,75,99,4.04,ID,1702336241
184,wailua homesteads,22.0669,-159.378,28.24,83,20,4.12,US,1702336241
185,nemuro,43.3236,145.575,1.96,70,100,7.15,JP,1702336051
186,tolanaro,-25.0319,46.9987,24.33,94,99,4.89,MG,1702336241
187,crane,31.3974,-102.3501,16.15,18,11,2.86,US,1702336241
188,champerico,14.3,-91.9167,28.84,71,2,2.68,GT,1702336241
189,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702336242
190,port augusta,-32.5,137.7667,21.77,42,49,4.83,AU,1702336242
191,anadyr,64.75,177.4833,-25.56,75,20,4.0,RU,1702336242
192,ushuaia,-54.8,-68.3,9.72,68,87,2.74,AR,1702336174
193,dongcun,36.7767,121.1597,-1.05,85,100,6.07,CN,1702336243
194,port antonio,18.18,-76.4612,27.19,82,94,2.44,JM,1702336243
195,lubango,-14.9172,13.4925,17.04,87,89,0.45,AO,1702336243
196,berdigestyakh,62.0989,126.6992,-28.58,95,100,3.62,RU,1702336243
197,kingston,17.997,-76.7936,26.78,85,86,1.22,JM,1702336244
198,bure,10.7,37.0667,14.06,52,65,2.34,ET,1702336244
199,invercargill,-46.4,168.35,11.14,53,64,8.94,NZ,1702336023
200,juneau,58.3019,-134.4197,4.0,93,100,10.8,US,1702336244
201,ziro,27.6333,93.8333,2.64,85,0,1.17,IN,1702336244
202,xingcheng,40.6167,120.7167,-11.95,61,20,4.34,CN,1702336245
203,kununurra,-15.7667,128.7333,30.99,62,95,1.03,AU,1702336245
204,groningen,53.25,6.75,7.24,92,100,3.09,NL,1702336182
205,freetown,8.484,-13.2299,26.59,77,5,2.77,SL,1702336047
206,jamestown,42.097,-79.2353,0.77,76,100,4.12,US,1702336245
207,brookings,44.3114,-96.7984,3.54,59,75,6.69,US,1702336241
208,cicero dantas,-10.6,-38.3833,23.07,75,78,5.88,BR,1702336245
209,luderitz,-26.6481,15.1594,18.59,53,0,9.41,NA,1702336246
210,rio grande,-32.035,-52.0986,23.06,86,8,7.16,BR,1702336246
211,kiruna,67.8557,20.2251,-21.49,77,52,2.06,SE,1702336246
212,sur,22.5667,59.5289,22.83,63,44,1.03,OM,1702336246
213,akureyri,65.6835,-18.0878,-7.1,96,67,1.69,IS,1702336246
214,gamba,-2.65,10.0,26.02,83,98,0.78,GA,1702336246
215,happy valley-goose bay,53.3168,-60.3315,-0.83,86,100,1.54,CA,1702336246
216,yermakovskoye,53.2831,92.4003,-31.88,100,73,0.87,RU,1702336247
217,chegdomyn,51.1167,133.0167,-32.48,99,41,0.58,RU,1702336247
218,saipan,15.1355,145.701,29.39,74,40,5.66,MP,1702336247
219,tokonou,9.65,-9.7833,20.6,28,93,1.22,GN,1702336247
220,port moresby,-9.4431,147.1797,28.82,66,91,3.97,PG,1702336247
221,opuwo,-18.0607,13.84,22.99,31,75,2.46,NA,1702336248
222,bondoukou,8.0333,-2.8,26.01,44,0,0.6,CI,1702336248
223,filadelfia,39.9523,-75.1638,6.2,56,75,8.75,US,1702336248
224,broken hill,-31.95,141.4333,26.45,41,46,1.94,AU,1702336248
225,mount gambier,-37.8333,140.7667,24.42,60,60,3.76,AU,1702336248
226,bikenibeu village,1.3673,173.1241,28.53,72,78,1.83,KI,1702336248
227,yigo village,13.5361,144.8886,28.62,78,40,6.17,GU,1702336249
228,minas de marcona,-15.2119,-75.1103,17.32,76,10,6.03,PE,1702336249
229,velez,6.0134,-73.6735,14.97,97,68,0.67,CO,1702336249
230,hun,29.1268,15.9477,13.28,75,18,3.62,LY,1702336249
231,port hueneme,34.1478,-119.1951,26.22,41,40,3.09,US,1702336249
232,arteche,12.2645,125.4048,25.99,89,76,2.59,PH,1702336249
233,hounde,11.5,-3.5167,24.08,14,0,2.57,BF,1702336250
234,nelson bay,-32.7167,152.15,26.17,73,25,1.79,AU,1702336250
235,kayyerkan,69.3786,87.7439,-23.63,98,100,3.5,RU,1702336250
236,tazovsky,67.4667,78.7,-25.46,95,100,3.89,RU,1702336250
237,lazaro cardenas,17.9583,-102.2,29.24,58,78,2.72,MX,1702336199
238,acarau,-2.8856,-40.12,26.76,80,20,7.46,BR,1702336183
239,hithadhoo,-0.6,73.0833,27.61,78,51,2.76,MV,1702336251
240,geraldton,-28.7667,114.6,26.23,24,0,4.12,AU,1702336251
241,wanze,50.5395,5.2092,9.27,93,75,4.12,BE,1702336251
242,krasnokamensk,50.0979,118.0369,-33.51,100,75,0.83,RU,1702336251
243,maues,-3.3836,-57.7186,23.75,99,100,1.4,BR,1702336251
244,usol'ye,59.4268,56.6808,-27.93,86,98,3.4,RU,1702336252
245,sanski most,44.7653,16.6656,8.07,85,100,2.18,BA,1702336252
246,chongwe,-15.3292,28.682,21.32,66,79,0.91,ZM,1702336252
247,kale,50.9581,1.8521,8.87,94,5,4.34,FR,1702336252
248,voss,60.623,6.4229,-11.89,92,44,2.01,NO,1702336252
249,schonkirchen,54.3333,10.2333,5.07,93,100,1.54,DE,1702336252
250,carutapera,-1.195,-46.02,26.51,79,56,3.8,BR,1702336252
251,kruisfontein,-34.0033,24.7314,14.94,85,1,3.29,ZA,1702336253
252,whitehorse,60.7161,-135.0538,-5.93,92,86,3.8,CA,1702336253
253,khark,29.2614,50.3306,23.44,51,54,2.4,IR,1702336253
254,la'ie,21.6477,-157.9253,28.98,73,18,0.89,US,1702336253
255,semey,50.4111,80.2275,-20.26,80,100,7.08,KZ,1702336253
